iter	Passed	Remaining
0	308	308130
1	354	176927
2	387	128936
3	409	101992
4	421	83952
5	433	71828
6	444	63114
7	457	56702
8	470	51796
9	482	47723
10	493	44342
11	504	41498
12	516	39205
13	526	37079
14	536	35255
15	548	33747
16	559	32354
17	571	31195
18	582	30089
19	593	29092
20	602	28090
21	614	27324
22	625	26583
23	634	25806
24	643	25114
25	652	24461
26	662	23863
27	671	23324
28	680	22785
29	690	22319
30	699	21851
31	710	21483
32	719	21086
33	729	20715
34	738	20361
35	749	20057
36	758	19746
37	767	19431
38	777	19160
39	787	18905
40	796	18625
41	807	18429
42	818	18209
43	829	18025
44	839	17824
45	848	17599
46	857	17380
47	867	17206
48	875	16995
49	886	16834
50	894	16647
51	903	16478
52	912	16310
53	923	16174
54	934	16054
55	946	15962
56	960	15884
57	971	15782
58	983	15688
59	997	15619
60	1007	15512
61	1019	15429
62	1030	15323
63	1040	15215
64	1050	15113
65	1060	15006
66	1070	14904
67	1080	14813
68	1090	14708
69	1100	14619
70	1110	14526
71	1119	14425
72	1129	14336
73	1138	14250
74	1148	14164
75	1158	14088
76	1168	14003
77	1179	13937
78	1188	13852
79	1197	13776
80	1209	13719
81	1218	13638
82	1227	13565
83	1237	13491
84	1248	13440
85	1258	13376
86	1267	13303
87	1277	13241
88	1286	13172
89	1296	13112
90	1306	13050
91	1316	12989
92	1325	12930
93	1334	12865
94	1346	12823
95	1356	12770
96	1365	12712
97	1375	12661
98	1385	12605
99	1394	12552
100	1405	12506
101	1414	12456
102	1423	12400
103	1433	12349
104	1444	12312
105	1453	12262
106	1463	12212
107	1472	12163
108	1480	12102
109	1490	12055
110	1497	11996
111	1507	11950
112	1515	11895
113	1524	11844
114	1532	11791
115	1542	11754
116	1552	11715
117	1562	11682
118	1573	11647
119	1584	11617
120	1594	11581
121	1604	11547
122	1613	11501
123	1621	11457
124	1629	11409
125	1638	11367
126	1647	11324
127	1656	11284
128	1666	11249
129	1676	11219
130	1687	11194
131	1696	11156
132	1705	11118
133	1714	11081
134	1722	11038
135	1733	11012
136	1741	10971
137	1751	10943
138	1761	10911
139	1771	10883
140	1781	10852
141	1789	10812
142	1798	10781
143	1807	10742
144	1815	10706
145	1824	10669
146	1833	10637
147	1841	10599
148	1849	10564
149	1857	10527
150	1868	10505
151	1877	10474
152	1885	10439
153	1895	10413
154	1903	10378
155	1912	10348
156	1920	10314
157	1929	10283
158	1937	10247
159	1946	10220
160	1954	10186
161	1964	10161
162	1972	10126
163	1982	10106
164	1993	10089
165	2002	10060
166	2010	10030
167	2019	10000
168	2028	9973
169	2036	9942
170	2045	9915
171	2053	9884
172	2062	9857
173	2070	9827
174	2080	9806
175	2089	9781
176	2097	9753
177	2106	9726
178	2114	9697
179	2122	9671
180	2131	9644
181	2140	9622
182	2148	9593
183	2158	9570
184	2165	9540
185	2174	9516
186	2182	9489
187	2192	9470
188	2201	9445
189	2209	9419
190	2219	9398
191	2227	9373
192	2237	9355
193	2246	9332
194	2255	9311
195	2263	9286
196	2272	9264
197	2281	9241
198	2291	9224
199	2300	9201
200	2309	9179
201	2319	9162
202	2328	9143
203	2348	9163
204	2357	9143
205	2368	9128
206	2377	9108
207	2389	9098
208	2399	9082
209	2410	9066
210	2420	9052
211	2431	9039
212	2441	9021
213	2451	9003
214	2460	8983
215	2469	8964
216	2477	8941
217	2486	8920
218	2495	8899
219	2505	8882
220	2514	8862
221	2523	8842
222	2532	8824
223	2540	8801
224	2549	8781
225	2557	8759
226	2566	8740
227	2574	8716
228	2583	8698
229	2591	8676
230	2600	8656
231	2608	8633
232	2617	8616
233	2627	8599
234	2635	8578
235	2644	8560
236	2652	8538
237	2661	8521
238	2670	8502
239	2679	8485
240	2688	8465
241	2696	8445
242	2704	8424
243	2713	8407
